z_um,width_um
2.125533395559301653e+00,4.853755370140265188e-03
2.129153371829495267e+00,3.619976270193474375e-03
2.132731534267364282e+00,3.578162437868902777e-03
2.136373249623547466e+00,3.641715356183137901e-03
2.141208079792203733e+00,4.834830168656047492e-03
2.144789121739220761e+00,3.581041947017193482e-03
2.148383691057643929e+00,3.594569318422973902e-03
2.153246787608988022e+00,4.863096551344060596e-03
2.156850277758715517e+00,3.603490149727416221e-03
2.160428210572800545e+00,3.577932814085218322e-03
2.165227237782650693e+00,4.799027209850325465e-03
2.168909446315900880e+00,3.682208533250351610e-03
2.172486727410296581e+00,3.577281094395536390e-03
2.176090478968682351e+00,3.603751558385971231e-03
2.180953909760928067e+00,4.863430792245886265e-03
2.184547631675973101e+00,3.593721915044889928e-03
2.188128405642518537e+00,3.580773966545398174e-03
2.192963684758891141e+00,4.835279116372457296e-03
2.196607118279941595e+00,3.643433521050668065e-03
2.200183336714276461e+00,3.576218434334873988e-03
2.203801902018751147e+00,3.618565304474598548e-03
2.208657661446344012e+00,4.855759427592688977e-03
2.212244536730217259e+00,3.586875283873418915e-03
2.215830206983417483e+00,3.585670253200016078e-03
2.220683609666742164e+00,4.853402683324770615e-03
2.224304171733079816e+00,3.620562066337545612e-03
2.227881512091786753e+00,3.577340358706941788e-03
2.231522439779975109e+00,3.640927688188389921e-03
2.236359347663441355e+00,4.836907883466028298e-03
2.239939834399213847e+00,3.580486735772518345e-03
2.243533267037894241e+00,3.593432638680435932e-03
2.248396938636316289e+00,4.863671598422231873e-03
2.252001745236690944e+00,3.604806600374447969e-03
2.255579004896993922e+00,3.577259660302789610e-03
2.259255123871406479e+00,3.676118974412404851e-03
2.264059361498413026e+00,4.804237627006451364e-03
2.267637613547089259e+00,3.578252048676034639e-03
2.271240787138108619e+00,3.603173591019371343e-03
2.276103957941394640e+00,4.863170803286003679e-03
2.279698517534456847e+00,3.594559593062296096e-03
2.283279206104341430e+00,3.580688569884492734e-03
2.288113050319894093e+00,4.833844215552809444e-03
2.291757940946991035e+00,3.644890627096783377e-03
2.295334394142831691e+00,3.576453195840525925e-03
2.298951939587750015e+00,3.617545444918226182e-03
